Measure,Indicator,Region,Year,Food group,Stats,Intake (g/d)
abs,GDD,ARE,2015,eggs,high,34.2419
abs,GDD,ARE,2015,milk,mean,128.503
abs,GDD,ARE,2015,milk,low,93.0884
abs,GDD,ARE,2015,milk,high,182.677
abs,GDD,ARE,2015,dairy,mean,422.528
abs,GDD,ARE,2015,dairy,low,247.776
abs,GDD,ARE,2015,dairy,high,730.187
abs,GDD,ARE,2015,grains,mean,370
abs,GDD,ARE,2015,grains,low,220.929
abs,GDD,ARE,2015,grains,high,569.475
abs,GDD,ARE,2015,roots,mean,221.347
abs,GDD,ARE,2015,roots,low,120.053
abs,GDD,ARE,2015,roots,high,403.268
abs,GDD,ARE,2015,red_prc_meat,mean,64.8917
abs,GDD,ARE,2015,red_prc_meat,low,33.5184
abs,GDD,ARE,2015,red_prc_meat,high,114.577
abs,GDD,BHR,2015,fruits,mean,123.8
abs,GDD,BHR,2015,fruits,low,102.65
abs,GDD,BHR,2015,fruits,high,149.162
abs,GDD,BHR,2015,vegetables,mean,183.5
abs,GDD,BHR,2015,vegetables,low,144.348
abs,GDD,BHR,2015,vegetables,high,230.761
abs,GDD,BHR,2015,potatoes,mean,62.2524
abs,GDD,BHR,2015,potatoes,low,34.8957
abs,GDD,BHR,2015,potatoes,high,115.939
abs,GDD,BHR,2015,othr_roots,mean,31.4881
abs,GDD,BHR,2015,othr_roots,low,15.994
abs,GDD,BHR,2015,othr_roots,high,65.5769
abs,GDD,BHR,2015,legumes,mean,38.5163
abs,GDD,BHR,2015,legumes,low,20.8875
abs,GDD,BHR,2015,legumes,high,73.7789
abs,GDD,BHR,2015,nuts,mean,21.5512
abs,GDD,BHR,2015,nuts,low,11.4849
abs,GDD,BHR,2015,nuts,high,38.1427
abs,GDD,BHR,2015,prc_grains,mean,473.171
abs,GDD,BHR,2015,prc_grains,low,287.552
abs,GDD,BHR,2015,prc_grains,high,671.686
abs,GDD,BHR,2015,whole_grains,mean,15.778
abs,GDD,BHR,2015,whole_grains,low,6.59506
abs,GDD,BHR,2015,whole_grains,high,39.2988
abs,GDD,BHR,2015,prc_meat,mean,25.9231
